Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01402E+12,14-Feb-14,6-Feb-14,SAN,San Diego International,Southwest Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$200.00 ,Approve in Full
2.01402E+12,18-Feb-14,11-Jul-13,SAF,Santa Fe Municipal,UAL  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$200.00 ,Approve in Full
2.01402E+12,21-Feb-14,8-Jan-14,RDU,Raleigh-Durham International,UAL  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Jewelry & Watches; Other,$200.00 ,Settle
2.01402E+12,20-Feb-14,18-May-13,CMH,Port Columbus International,Delta Air Lines  ,Property Damage,Checked Baggage,Other,$200.00 ,Approve in Full
2.01403E+12,27-Feb-14,15-Feb-14,JFK,John F. Kennedy International,Aerolineas Argentinas,Property Damage,Checkpoint,Personal Electronics,$200.00 ,Approve in Full
2.01403E+12,19-Mar-14,22-Oct-13,IAD,Washington Dulles International,South African Airways  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$200.00 ,Approve in Full
2.01404E+12,1-Apr-14,18-Mar-14,MSY,New Orleans International,American Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Hunting & Fishing Items,$200.00 ,Approve in Full
2.01404E+12,6-Apr-14,22-Mar-14,PHL,Philadelphia International Airport,USAir  ,Property Damage,Checkpoint,Personal Accessories,$200.00 ,Approve in Full
2.01404E+12,7-Apr-14,7-Mar-14,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$200.00 ,Approve in Full
2.01404E+12,9-Apr-14,4-Mar-14,MIA,Miami International Airport,Air Canada,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$200.00 ,Approve in Full
2.01404E+12,17-Apr-14,1-Feb-14,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checked Baggage,Medical/Science,$200.00 ,Approve in Full
2.01405E+12,9-May-14,25-Jan-14,ORD,Chicago O'Hare International Airport,British Airways  ,Passenger Property Loss,Checkpoint,Tools & Home Improvement Supplies,$200.00 ,Approve in Full
2.01405E+12,14-May-14,23-Apr-14,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$200.00 ,Approve in Full
2.01406E+12,10-Jun-14,20-Apr-14,JFK,John F. Kennedy International,Egypt Air  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$200.00 ,Settle
