year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,10,DL,Delta Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",692.00,124.00,64.86,0.00,46.54,0.79,11.81,0.00,1.00,5963.00,3941.00,0.00,1416.00,30.00,576.00
2022,10,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",882.00,97.00,47.76,1.18,30.13,0.00,17.93,1.00,1.00,5441.00,3510.00,39.00,981.00,0.00,911.00
2022,10,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",875.00,133.00,60.77,1.10,48.30,0.00,22.83,3.00,4.00,8231.00,4380.00,21.00,2478.00,0.00,1352.00
2022,10,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4682.00,457.00,167.99,7.42,122.25,1.00,158.33,22.00,0.00,26853.00,13847.00,401.00,3495.00,25.00,9085.00
2022,10,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",434.00,88.00,27.57,0.00,56.57,0.00,3.87,1.00,0.00,4461.00,1714.00,0.00,2480.00,0.00,267.00
2022,10,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",770.00,100.00,49.82,0.70,32.41,1.00,16.06,4.00,1.00,6299.00,4315.00,68.00,1020.00,55.00,841.00
2022,10,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",229.00,17.00,12.55,0.80,0.66,0.00,2.99,0.00,0.00,897.00,773.00,12.00,17.00,0.00,95.00
2022,10,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",669.00,121.00,51.50,1.17,46.73,0.00,21.60,3.00,3.00,6684.00,4101.00,30.00,1496.00,0.00,1057.00
2022,10,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",2346.00,559.00,163.43,3.62,279.57,1.00,111.38,12.00,2.00,35522.00,14800.00,201.00,10642.00,23.00,9856.00
2022,10,DL,Delta Air Lines Inc.,LAS,"Las Vegas, NV: Harry Reid International",1212.00,118.00,60.30,0.00,47.42,0.00,10.28,3.00,2.00,5101.00,3109.00,0.00,1710.00,0.00,282.00
2022,10,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2894.00,348.00,176.59,0.00,91.88,0.00,79.53,8.00,0.00,23594.00,15546.00,0.00,3478.00,0.00,4570.00
2022,10,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",2090.00,404.00,101.97,11.44,201.74,0.00,88.84,32.00,9.00,30994.00,10520.00,1509.00,12304.00,0.00,6661.00
2022,10,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1448.00,176.00,86.66,1.41,45.87,0.00,42.06,1.00,1.00,10452.00,6340.00,119.00,1278.00,0.00,2715.00
2022,10,DL,Delta Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",93.00,14.00,9.05,0.00,2.33,0.00,2.62,0.00,0.00,864.00,495.00,0.00,273.00,0.00,96.00
2022,10,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",644.00,115.00,54.95,0.06,43.78,1.00,15.22,2.00,2.00,6855.00,3154.00,9.00,2621.00,30.00,1041.00
2022,10,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",4731.00,452.00,183.09,2.93,130.96,2.90,132.12,17.00,1.00,28515.00,16582.00,126.00,3838.00,110.00,7859.00
2022,10,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",928.00,113.00,65.22,2.66,29.56,0.00,15.56,4.00,0.00,7669.00,5101.00,100.00,998.00,0.00,1470.00
2022,10,DL,Delta Air Lines Inc.,PHL,"Philadelphia, PA: Philadelphia International",457.00,43.00,25.82,0.00,13.59,0.00,3.59,1.00,1.00,2458.00,1754.00,0.00,564.00,0.00,140.00
2022,10,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",729.00,92.00,43.19,2.98,33.79,0.00,12.05,0.00,4.00,4780.00,2272.00,889.00,1147.00,0.00,472.00
2022,10,DL,Delta Air Lines Inc.,SAN,"San Diego, CA: San Diego International",793.00,94.00,45.00,2.10,33.68,0.00,13.23,0.00,1.00,5978.00,4510.00,53.00,902.00,0.00,513.00
2022,10,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",2601.00,250.00,133.78,1.08,49.87,0.00,65.27,4.00,2.00,19857.00,12829.00,220.00,1638.00,0.00,5170.00
2022,10,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",1079.00,93.00,55.37,1.73,13.82,1.00,21.08,1.00,2.00,5990.00,4331.00,53.00,324.00,17.00,1265.00
